Lidepla,Type,English,Russian,Source
menga de kwesta ,, a lot of questions,,
menga-ney ,kwo, (kwo) numerous,,
menga,,"2) (syao) «a lot, gathering of»","1) множество, скопление, масса: ye menga de kwesta a yu к тебе есть масса вопросов; menga-ney многочисленный; 2) суффикс, означающий некоторое множество, скопление, массу однородных объектов: moskamenga рой мух; jenmenga масса (толпа) народу; jenmengas людские массы; bushmenga заросли кустарника; mengi толпиться, кишеть; хоть отбавляй",
moskamenga ,kwo, (kwo) swarm of flies,,
jenmenga ,kwo, (kwo) crowd,,
mengi ,zwo," (zwo) be in multitude, crowd, throng, swarm, mob",,Swahili
menjer ,kwo, (kwo) manager (business),менеджер,
meno ,," (gramatika) less, fewer","1) меньше (по количеству, степени): ta hev meno mani у него меньше денег; me pri se meno это мне нравится меньше; yoshi meno ещё меньше; 2) менее (образует степени сравнения): meno kway kem… менее быстрый, чем; meno guy менее дорогой",
meno kem shi ,, less than ten,,
Lu lopi meno kway kem yu. ,, He runs less quick than you.,,
Sey gaseta es meno interes-ney kem toy-la. ,, This newspaper is less interesting than that one.,,
Nu nadi ke in futur ye meno gwer in munda. ,, We hope that in future there will be fewer wars in the world.,,
mensioni ,zwo," (zwo) mention, make mention of",упоминать; mensiona упоминание,
mensiona ,kwo," (kwo) mention, mentioning",,
menta ,kwo," (kwo) mind, mentality","ум; mentale ментальный, умственный; mentastasa умонастроение: pro-westa-ney mentastasa прозападные настроения",
mentale ,kwel, (kwel) mental,,
mentastasa ,kwo, (kwo) state of mind,,
mentaliga ,kwo, (kwo) association (mental connection),"ассоциация, умственная связь; mentaligi ассоциировать (в уме)",
mentaligi ,zwo, (zwo) associate (connect in the mind) (Origin: menta+liga),,
menu ,kwo, (kwo) menu,меню; menu punta пункт меню,
mer ,kwo, (kwo) mayor,мэр,Russian
meridian ,kwo, (kwo) meridian,меридиан,
merita ,kwo," (kwo) merit, desert","заслуга; достоинство, преимущество (недостаток - nomerita, dosh); meriti заслужить, быть достойным; meriten artista заслуженный деятель искусств",
meriti ,zwo," (zwo) merit, deserve",,
meriten artista ,," Honoured Art Worker Ant.: nomerita, dosh",,
merki ,zwo," (zwo) notice, note, take notice of, mark","замечать, примечать, отмечать, обращать внимание; merkival примечательный, замечательный; merkibile заметный; bumerki-ney незамеченный; sinmerkem незаметно, неразличимо; merki pa un-ney kansa — заметить что-л. с первого взгляда; merki ba sey konklusa in yur kapa — отметь этот вывод в своей голове",
merki pa un-ney kansa ,, notice at the first sight,,
merki to ke ta shwo ,, mark what he says,,
merkival ,kwel," (kwel) notable, noteworthy, remarkable",,
merkibile ,kwel, (kwel) noticeable,,
bumerki-ney ,kwel, (kwel) unnoticed,,
sinmerkem ,komo, (komo) insensibly,,
Merkuri ,kwo, (kwo) Mercury,меркурий,
merlan ,kwo, (kwo) whiting (fish),мерлан (рыба),
mes ,kwo, (kwo) month,месяц; mes-ney месячный; kadames-ney ежемесячный,
"mes-ney, kadames-ney ",kwel, (kwel) monthly,,
mesa ,kwo, (kwo) (Church) Mass,месса,
mesaja ,kwo, (kwo) message,"послание, сообщение",
met ,kwo, (kwo) mat (flat piece of material); doormat,коврик; половик; mausmet коврик для мыши,
mausmet ,kwo, (kwo) mouse mat/pad,,
metafa ,kwo, (kwo) metaphor,метафора; metafike метафорический; переносный,
metafike ,kwel, (kwel) metaphorical; figurative,,
metal ,kwo, (kwo) metal,металл; metalka металлическая вещь,
metal-ney ,kwel, (kwel) metallic,,
metalka ,kwo," (kwo) a metallic thing, piece of metal",,
meteo ,kwo, (kwo) weather,погода,
badal-ney meteo ,, cloudy weather,,
meteologia ,kwo, (kwo) meteorology,метеорология; meteologier метеоролог,
meteologier ,kwo," (kwo) meteorologist, weatherman",,
metoda ,kwo, (kwo) method (special or definite system of procedure),метод; metodike методический,
metodike ,kwo, (kwo) methodical,,Chech
metra ,kwo, (kwo) meter,метр: sem metra семь метров,
pet metra ,, five meters,,
metro ,kwo," (kwo) subway, the underground",метро,
mey ,kwo, (kwo) May (also mes-pet),май (тж. mes-pet),
meyglok ,kwo, (kwo) lily of the valley Origin: mey+glok,ландыш,
mi ,kwo, (kwo) E (mus.),ми (муз. нота),
Michigan-lak ,kwo, (kwo) Lake Michigan,озеро Мичиган,
middeyfan ,kwo, (kwo) lunch,"ленч, полдневный обед",
mide ,kwel," (kwel) middle, mean; average","средний (тж.взятый в среднем); midem в среднем; midika среднее, средняя величина; mida середина; in mida de посреди; yus in mida в самой середине",
midem ,komo, (komo) on average,,
midika ,kwo, (kwo) average,,
mida ,kwo," (kwo) middle, mean",,
yus in mida de ,, right in the middle of,,
mid- ,syao," (syao) ""mid-""","приставка, означающая середину: midnocha полночь; middey полдень; aftemiddey время после полудня; midyash-ney среднего возраста",
midnocha ,, midnight,,
middey ,," midday, noon",,
midyash-ney ,, middle-aged,,
miden ,konekti," (konekti) amid, in the middle (of), in the midst (of), among","среди, посреди: miden shamba посреди комнаты; miden amigas среди друзей; miden nocha посреди ночи. Miden li ye diverse jen. – Среди них есть всякие люди.",
miden shamba ,, in the middle of the room,,
miden amigas ,, among friends,,
miden nocha ,, in the middle of the night,,
Miden li ye diverse jen. ,, There are various people among them.,,
midia ,kwo, (kwo) mussel,мидия,
mif ,kwo, (kwo) myth,миф; mifologia мифология; mifologike мифологический; mifologisi мифологизировать,
mifike ,kwel, (kwel) mythic(al),,Russian
mifen ,kwo, (kwo) bee,пчела; mifendom улей,
mifendom ,kwo, (kwo) hive,,Mandarin
mifologia ,kwo, (kwo) mythology,,
mifologike ,kwel, (kwel) mythological,,
mifologisi ,zwo, (zwo) mythologize,,
migi ,zwo, (zwo) blink; wink,"мигать; моргать; подмигивать; miga моргание, мигание; in miga-taim во мгновение ока",
miga ,kwo, (kwo) blink; wink,,
in miga-taim ,, in the blink of an eye,,Russian
migri ,zwo, (zwo) migrate,мигрировать; migri-faulas перелётные птицы; migra миграция,
migri-faulas ,, migrating birds,,
migra ,kwo, (kwo) migration,,
mikas ,kwo, (kwo) scissors; shears,ножницы,Arabic
mikroskop ,kwo, (kwo) microscope,микроскоп,
mil ,, (kwanto) thousand (1000),тысяча; при счёте неизм.: tri mil sitsto-shi-sem - 3617; un milfen одна тысячная,
mil yar ,, one thousand years,,
tri mil sitsto-shi-sem ,,3617,,
un milfen ,, one-thousandth,,
miliarda ,," (kwanto) billion, 1000 millions, 109",миллиард; miliarder миллиардер,
miliarder ,kwo, (kwo) billionaire,,
milimetra ,kwo, (kwo) millimetre,миллиметр,
milion ,," (kwanto) million, 106",миллион; при счёте неизм.: dwa milion petsto mil - 2 500 000; milioner миллионер,
dwa milion ,, two millions,,
dwa milion petsto mil ,, 2 500 000,,
milioner ,kwo, (kwo) millionaire,,
milka ,kwo, (kwo) milk,молоко; dai milka давать молоко; milka(-ney) молочный; Milkadao Млечный путь; milki доить; milking дойка; milker доилка; milki-sha дояр(ка),
dai milka ,, give milk,,
milka-ney ,kwel," (kwel) milk, milky; dairy",,
Milkadao ,, Milky Way,,
milki ,zwo, (zwo) milk,,
milking ,kwo, (kwo) milking,,
milker ,kwo, (kwo) milker (person or machine),,
milki-sha ,kwo, (kwo) milker (person),,
milyoo ,kwo, (kwo) milieu,"среда, окружение; sirkum-milyoo окружающая среда",
sirkum-milyoo ,kwo, (kwo) (natural) environment,,Danish
mina ,kwo, (kwo) mine (explosive device ,"мина; stavi mina, minisi минировать",
stavi mina ,, lay/plant mines,,
minisi ,zwo, (zwo) mine (lay mines),,
mindal ,kwo, (kwo) almond,миндаль,
mineral ,kwo, (kwo) mineral,минерал; mineral-ney минеральный,
mineral-ney ,kwel, (kwel) mineral,,
mineral-ney akwa ,, mineral water,,
mineralisi ,zwo, (zwo) mineralize,,
minim ,, (gramatika) least,"1) меньше всего (по количеству); в наименьшей степени: me pri se minim это мне нравится менее всего; ta hev minim mani у него меньше всего денег; minimtaa меньшинство; minimgrad менее всего, в наименьшей степени; 2) наименее (образует превосходную степень сравнения): minim guy jaketa наименее дорогой пиджак",
minim kway ,, least quick(ly),,
minimgrad ,komo, (komo) least of all,,
minimtaa ,kwo, (kwo) minority,,
minimale ,kwel," (kwel) minimal, minimum","минимальный; minimalem минимально, по минимуму",
minimalem ,komo, (komo) minimally,,
minimum ,kwo, (kwo) minimum,минимум,
minista ,kwo, (kwo) minister (high officer of state),министр; ministaguan министерство,
ministaguan ,kwo, (kwo) ministry,,
minor ,kwo, (kwo) minor (mus.) Ant.: major,минор,
minta ,kwo, (kwo) mint (plant or flavouring),мята,
minta-bonbon ,, mint (candy),,
minus ,," (konekti, kwo) minus","минус (знак; убыль); tri minus dwa es un три минус два - один; minus-ney минусовой, отрицательный; minusvati минусовать",
tri minus dwa es un ,, three minus two is one,,
minus-ney ,kwel," (kwel) minus, negative",,
minusvati ,zwo, (zwo) subtract,,
minuta ,kwo, (kwo) minute,минута,
mira ,kwo," (kwo) mirror, looking glass",зеркало,
mirakla ,kwo, (kwo) miracle,"чудо; mirakla-ney (mirakle) чудесный; miraklalik чудесный, прекрасный",
"mirakla-ney (mirakle), miraklalik ",kwel, (kwel) miraculous,,
mirta ,kwo, (kwo) myrtle,мирт,
mis ,kwo," 1) (kwo) miss (a title of respect for a young unmarried woman; an unmarried woman) See also: sinior, madam","приставка, означает неправильность: misyusi злоупотреблять, miskalkuli неправильно сосчитать; misstepi оступиться; misaudi ослышаться; misluma неверный свет",
mis,,2) (syao) mis- (in a wrong way),"приставка, означает неправильность: misyusi злоупотреблять, miskalkuli неправильно сосчитать; misstepi оступиться; misaudi ослышаться; misluma неверный свет",
misyusi ,, misuse,,
miskalkuli ,, miscalculate,,
misstepi ,, stumble,,
misaudi ,, mishear,,
misluma ,, uncertain light,,
mision ,kwo, (kwo) mission,"миссия, поручение",
misioner ,kwo, (kwo) missionary,,
Misisipi ,kwo, (kwo) Mississippi,Миссисипи,
miska ,kwo, (kwo) musk,мускус; miskarata мускусная крыса,
miskarata ,, muskrat,,Arabic
misteria ,kwo, (kwo) mystery,"тайна, загадка; misteriaful таинственный",
misteriaful ,kwel, (kwel) mysterious,,
mistika ,kwo," (kwo) mysticism,",мистика;  mistike мистический; mistiker мистик,
mistike ,kwel, (kwel) mystic,,
mistiker ,kwo, (kwo) mystic (a person),,
miti ,zwo, (zwo) meet; encounter,"встретить(ся); mita встреча; свидание; me joi al miti yu очень приятно, очень рад (встрече); es hao ke nu miti mutu хорошо, что мы встретили друг друга; go pa mita идти навстречу",
me joi al miti yu ,, I am glad to meet you,,
mita ,kwo, (kwo) meeting; encounter,,
go pa mita ,," approach in the opposite direction, come to meet",,
mixi ,zwo," (zwo) mix; blend, mingle","смешивать; mixa смешивание; смешение; смесь; mixitura смесь; mixiwat смешиваемое (ингредиент); muvi-mixi размешивать; bati-mixi пахтать, сбивать; mixer миксер; fa-mixi смешиваться; сливаться",
mixing ,kwo, (kwo) mixing,,
mixa ,kwo, (kwo) mix,,
mixitura ,kwo, (kwo) mixture,,
mixer ,kwo, (kwo) mixer,,
muvi-miksi ,zwo, (zwo) stir up,,
bati-mixi ,zwo, (zwo) churn,,
mlan ,kwel," (kwel) sluggish, lackadaisical, listless, languid, slack, inert, nerveless","вялый; безынициативный; апатичный; ""млявный""",Hindi
mobile ,kwel, (kwel) mobile,"мобильный; mobilika, mobila мобильный телефон, ""мобила""",
mobila ,kwo, (kwo) mobile phone,,
moda ,kwo," (kwo) fashion, vogue, mode",мода; moda-ney модный,
moda-ney ,kwel, (kwel) fashionable,,
model ,kwo, (kwo) model,модель; modeli моделировать,
modeli ,zwo, (zwo) model (cf. “lepi”),,
moden ,kwel, (kwel) modern,"современный; modenisi модернизировать, осовременить",
modenisi ,zwo, (zwo) modernize,,
modere ,kwel," (kwel) moderate, temperate","умеренный, сдержанный; moderitaa умеренность, сдержанность; moderisi умерять, сдерживать; модерировать",
moderitaa ,kwo," (kwo) moderateness, moderation, temperance",,
moderisi ,zwo," (zwo) moderate, keep within bonds; mitigate",,
modifiki ,zwo," (zwo) modify, make partial changes in","модифицировать; modifika изменение, модификация",
modifika ,kwo, (kwo) modification,,
modus ,kwo," (kwo) mode (way, manner, or status); (gram.) mood","способ, образ действия",
mog ,," (sta) can, may","мочь (выражает прежде всего способность, но также и вероятность, и разрешение): yu mog zwo to ты можешь сделать это; se mog bi это может быть. Mogisi - давать возможность, позволять. Mogbi — возможно, может быть. Mogsa способность, возможности, силы; pa ol mogsa изо всей мочи; me zwo olo ke es inen may mogsa — я сделаю всё, что в моих силах. Bu mog — нельзя, невозможно: Bu mog jivi sin chi — нельзя жить без того, чтобы есть. Bu-mog-bi-ke невероятный, которого не может быть",
me bu mog zwo to ,, I can't do it,,
se mog bi ,, it may be,,
kadawan mog lai ,, everyone may come,,
Yu mog zwo se kom yu yao. ,, You may do it as you like.,,
mogbi ,komo, (komo) maybe,,
mogisi ,zwo, (zwo) enable,,
mogsa ,kwo," (kwo) might, power",,
pa ol mogsa ,, with all might,,
me zwo olo ke es inen may mogsa ,, I'll do everything within my power,,
bu mog ,," one can't, it is impossible",,
Bu mog jivi sin chi. ,, One can't live without eating.,,
bu-mog-bi-ke ,," incredible, impossible",,Slavic
moha ,kwo, (kwo) moss (plants),мох,Hungarian
moher ,kwo, (kwo) mohair,мохер; moher-ney shal мохеровая шаль,
moki ,zwo," (zwo) mock, deride, ridicule",,
moka ,kwo," (kwo) mock, derision, sneer, ridicule","насмешка; moki осмеивать, высмеивать, потешаться над чем/кем-л.",
mokre ,kwel, (kwel) wet,"мокрый; mokri намокнуть/намочить; mokrifi (fa-mokre) намокнуть; mokrifa намокание, промокание; mokrisi (mah-mokre) намочить, промочить: kuydi bu mokrisi peda! смотри, не промочи ноги! mokritaa мокрость, мокрота",
mokrifi (fa-mokre) ,zwo, (zwo) get wet/drenched,,
mokrisi (mah-mokre) ,zwo, (zwo) wet (cover or impregnate with liquid),,Russian
molda ,kwo, (kwo) mould (a hollow form or matrix for shaping a fluid or plastic substance),"литейная форма; формочка (например, для приготовления еды)",
Moldova ,kwo, (kwo) Moldova,"Молдова,  Молдавия",
mole ,kwel, (kwel) soft,"мягкий; molenesa мягкость; molifi (fa-mole) мягчеть, размягчаться, смягчаться; molisi (mah-mole) размягчать, смягчать; molika мякоть",
mole kushen ,, soft cushion,,
molenesa ,kwo, (kwo) softness,,
moli ,zwo, (zwo) soften (tr./intr.),,
molifi (fa-mole) ,zwo," (zwo) soften, become soft",,
molisi (mah-mole) ,zwo," (zwo) soften, make soft or softer",,
molika ,kwo, (kwo) pulp (soft mass or matter),,
molekula ,kwo, (kwo) molecule,молекула,
molibden ,kwo, (kwo) molybdenum (chem.),молибден,
moluska ,kwo, (kwo) mollusc,моллюск,
molya ,kwo, (kwo) wife,жена,
momenta ,kwo," (kwo) moment, instant","момент, миг; momenta-ney (momente) моментальный; momenta-nem (momentem) моментально, мгновенно",
momenta-ney (momente) ,kwel, (kwel) momentary,,
momenta-nem (momentem) ,komo," (komo) instantly, in a moment",,
momentum ,kwo, (kwo) momentum,"момент (физ., мех.)",
monada ,kwo, (kwo) monad,монада,
monah ,kwo," (kwo) monk, nun",монах/монахиня; monaho монах; monahina монахиня,
monaho ,kwo, (kwo) monk,,
monahina ,kwo, (kwo) nun,,Greek
Monako ,kwo, (kwo) Monaco,Монако,
monarka ,kwo, (kwo) monarch,монарх; monarkia монархия,
monarkia ,kwo, (kwo) monarchy,,
monastir ,kwo," (kwo) cloister, monastery, nunnery, convent",монастырь,Greek
moneta ,kwo, (kwo) coin,монета,
Mongolia ,kwo, (kwo) Mongolia,Монголия,
monitor ,kwo, (kwo) monitor (device or program),монитор; monitori вести мониторинг; monitoring мониторинг,
monitori ,zwo, (zwo) monitor,,
monitoring ,kwo, (kwo) monitoring,,
monogamia ,kwo, (kwo) monogamy,моногамия; monogamike моногамный,
monogamike ,kwel, (kwel) monogamous,,
monograma ,kwo, (kwo) monogram,монограмма,
monologa ,kwo," (kwo) monologue, soliloquy",монолог,
monopolia ,kwo, (kwo) monopoly,монополия; monopolisi монополизировать,
monopolisi ,zwo, (zwo) monopolize,,
monotone ,kwel, (kwel) monotonous,"монотонный, однообразный; monotonitaa однообразие, монотонность",
monotonitaa ,kwo, (kwo) monotony,,
monson ,kwo, (kwo) monsoon,муссон,
monsta ,kwo, (kwo) monster,"чудовище, чудище; monstalik чудовищный",
"monstalik, monsta-ney ",kwel, (kwel) monstrous,,
monta ,kwo, (kwo) mountain,"гора; montaflanka склон горы; montalok горы, гористая местность; monta-ney горный, гористый; monta-kadena кряж; montakin детская горка; desendi montakin кататься с горки",
monta-ney ,kwel," (kwel) mountain, mountainous",,
montaflanka ,kwo, (kwo) mountain flank,,
montalok ,kwo," (kwo) mountains, mountainous place",,
monta-kadena ,kwo," (kwo) mountain-ridge, range, chain of mountains",,
montakin ,kwo, (kwo) slide (item of play equipment for children),,
monta-gap ,kwo," (kwo) gorge, ravine, canyon",ущелье,
monta-klimber ,kwo, (kwo) mountaneer,альпинист,
montiri ,zwo," (zwo) mount, set up; montage","монтировать; montira монтирование, монтаж",
montira ,kwo," (kwo) mounting, installation; montage; editing",,
monton ,kwo," (kwo) heap, pile","куча, груда: monton de ramla - куча песка; montoni наваливать кучей, насыпать горой; скапливать",
monton de ramla ,, heap of sand,,
montoni ,zwo," (zwo) heap, pile",,
monumenta ,kwo, (kwo) monument,"памятник, монумент",
moral ,kwo," (kwo) morals, morality",мораль; moral-ney моральный,
moral-ney ,kwel, (kwel) moral,,
morba ,kwo," (kwo) sickness, illness; disease","болезнь; morba-ney (morbe) больной, нездоровый; morbi болеть; morbi-sha, morbe jen больной (сущ.); lu morbi-te ol mes он болел весь месяц; en-morbi заболеть; grave morba серьёзная болезнь",
morba-ney (morbe) ,kwel," (kwel) sick, ill",,
morbi ,zwo, (zwo) to be sick/ill,,
en-morbi ,zwo, (zwo) fall sick/ill,,
morsa ,kwo, (kwo) walrus,морж,Spanish
morta ,kwo, (kwo) death,"смерть; morta-ney (morte) мёртвый; morti умирать; morti-ney (morten) умерший; mortijen мёртвый, мертвец; mortisi умерщвлять; mortifa омертвление; om mortes treba shwo sol hao о мёртвых ничего, кроме хорошего; mortalok ""тот свет""; mortika падаль; sinmorte бессмертный; sinmortitaa бессмертие",
morta-ney (morte) ,kwel, (kwel) dead,,
om mortes treba shwo sol hao ,, of the dead speak only good,,
morti ,zwo, (zwo) die,,
mortijen ,kwo, (kwo) deadman,,
mortifa ,kwo, (kwo) mortification,,
mortalok ,kwo, (kwo) the next/other world,,
mortika ,kwo, (kwo) carrion,,
sinmorte ,kwel, (kwel) immortal,,
sinmortitaa ,kwo, (kwo) immortality,,
morta-puni ,zwo," (zwo) execute, put to death",казнить; morta-puna казнь; morta-puner палач,
morta-puna ,kwo, (kwo) execution,,
morta-puner ,kwo," (kwo) executioner, hangman",,
mortel ,kwo, (kwo) mortar (mixture),,
mosaika ,kwo, (kwo) mosaic,мозаика,
Mosambik ,kwo, (kwo) Mozambique,Мозамбик,
moska ,kwo, (kwo) fly (insect),муха; moskamenga рой мух,
moskamenga ,kwo, (kwo) swarm of flies,,
moskita ,kwo, (kwo) mosquito,комар; москит,
Moskva ,kwo, (kwo) Moscow,Москва,
moti ,zwo," (zwo) reel, wind, coil","мотать, наматывать; moti sirkum обматывать; motimashina мотальная машина; moting мотание; motika моток; demoti разматывать",
moti koysa sirkum koysa ,, wind smth round smth,,
motimashina ,kwo," (kwo) reeling machine, winder",,
motika ,kwo," (kwo) hank, coil, skein",,
demoti ,zwo," (zwo) unwind, uncoil",,Russian
motiva ,kwo, (kwo) motive; motif,"мотив (тж. муз.); motivi мотивировать, побуждать; motiving, motivasion мотивация",
motivi ,zwo, (zwo) motivate,,
"motiving, motivasion ",kwo, (kwo) motivation,,
motor ,kwo," (kwo) motor, engine","мотор, двигатель",
motosikla ,kwo, (kwo) motorcycle,мотоцикл (тж. moto),
Mranma ,kwo," (kwo) Myanmar, Burma","Мьянма, Бирма",
mu ,exklami, (exklami) moo,"му, мычание; fai mu мычать",
fai mu ,," moo, low",,Finnish
muaki ,zwo," (zwo) feel sick (at the stomach), have nausea",тошнить; muaka тошнота; muak! междометие тошноты,
muaka ,kwo, (kwo) nausea,,
muak! ,exklami, (exklami) interjection of nausea,,Indonesian
muar ,kwo," (kwo) moire, watered silk",муар,
muazin ,kwo, (kwo) muezzin,муэдзин,Arabic
mucho ,," (inplas-kwanto) much, many, a lot","много; намного, гораздо: mucho pyu hao гораздо лучше; muchos многие (люди); muchoyar-ney многолетний",
gun mucho ,, work much,,
mucho jen ,, many people,,
mucho mani ,, a lot of money,,
mucho pyu hao ,, much better,,
muchos ,, many (people),,
muchoyar-ney ,kwel, (kwel) of many years,,
muda ,kwo," (kwo) mood, spirits",настроение,
muh ,kwo, (kwo) mouth;,"рот, уста; пасть; жерло; входное отверстие, вход; muh-ney устный; muh-ney lingwa устная речь; muh de riva устье реки; muhka предмет, который, пользуясь им, подносят близко ко рту или берут в рот (не только люди, но и животные): мундштук и др.",
muh de riva ,, estuary,,
muh-ney ,kwel, (kwel) oral,,
muh-ney lingwa ,, oral language,,
muhka ,kwo, (kwo) mouthpiece,,Hindi
muhim ,kwel, (kwel) important,"важный; muhimtaa важность; nomuhim пустячный; nomuhimka пустяк; dai muhimtaa a koysa придавать чему-л. важность, значение; muhimi быть важным, иметь значение",
muhimtaa ,kwo," (kwo) importance, significance",,
dai muhimtaa a koysa ,, attach importance to smth,,
nomuhim ,kwel," (kwel) unimportant, trifling, trivial",,
nomuhimka ,kwo," (kwo) trifle, nothingness",,
muhimi ,zwo, (zwo) be of importance,,Arabic
muka ,komo, (komo) allegedly (used to express that what follows is doubtful or untrue),"якобы. Sey muka morbe jen es simuli-sha, ta es ga sane. Этот якобы больной - симулянт, он совершенно здоров.",
mukati ,zwo, (zwo) blow one’s nose,сморкаться,Arabic
mukus ,kwo," (kwo) mucus, mucilage; slime",слизь; nosmukus сопли,
nosmukus ,kwo," (kwo) snivel, snot",,
mulat ,kwo, (kwo) mulatto,мулат,
mule ,kwel," (kwel) mild, gentle","несильный, мягкий, нежный, кроткий, тихий; mulitaa мягкость, нежность, кротость",
mulitaa ,kwo," (kwo) mildness, gentleness",,Hindi
multipliki ,zwo," (zwo) multiply (bay, pa ",умножать (матем. и др.); dwa multipliki bay tri es sit (dwa ves tri es sit) — дважды три шесть; multiplika умножение,
tri multipliki pa char es shi-dwa (tri ves char es shi-dwa) ,, 3 multiplied by 4 makes 12,,
multiplika ,kwo, (kwo) multiplication,,
Mumbai ,kwo, (kwo) Mumbai,"Мумбай, Бомбей",
mumia ,kwo, (kwo) mummy (embalmed corpse),мумия; mumisi мумифицировать; mumifi мумифицироваться,
mumisi ,zwo, (zwo) mummify (tr.),,
mumifi ,zwo, (zwo) mummify (intr.),,Persian
munda ,kwo, (kwo) world,мир (свет),
munda-ney ,kwel, (kwel) world; global,,
mur ,kwo, (kwo) wall,стена,
murena ,kwo, (kwo) moray,мурена,
Muritanya ,kwo, (kwo) Mauritania,Мавритания,
murkuta ,kwo, (kwo) wallpaper Origin: mur+kuta,обои,
murmuri ,zwo, (zwo) murmur (cf. “hamsi”),"1) производить легкий шум; журчать; шелестеть: feng murmuri in kronas ветер шелестит в кронах; 2) бормотать, роптать; murmura шелест, ропот",
murmura ,kwo, (kwo) murmur,,
mursha ,kwo, (kwo) husband,муж,Gipsy
mus ,," (sta) must See also: treba, gai","быть должным (в широком смысле): oli jen mus chi, dabe jivi – все люди должны есть, чтобы жить. Manya me mus go a ofis. - Завтра я должен пойти в контору. Bu mus - не должен, не обязан. Nomus - нельзя, не должен. Yeri me mus-nem go a skola.- Вчера я должен был пойти в школу (и пошёл). Dan ta latifem depon bereta, e amigas mus-nem en-stan e pokloni. - Тут он вежливо снял берет, и друзьям ничего не оставалось, как приподняться и раскланяться.",
Oli jen mus chi fo jivi. ,, All people must eat in order to live.,,
Manya me mus go a ofis. ,, Tomorrow I must go to the office.,,
Yu mus bu chi. ,, You must not eat.,,
bu mus ,, (sta) to not have to,,
Yu bu mus chi. ,, You do not have to eat.,,
nomus ,, (sta) must not (obligatory prohibition),,
Yu nomus chi. ,, You must not eat.,,
mus-nem,,mustly,,
Yeri me mus-nem go a skola.,,Yesterday I had to go to school (and effectively did so).,,
"Dan ta latifem depon bereta, e amigas mus-nem en-stan e pokloni.",,"Here he politely tookoff his beret, and the friends had nothing left but to stand up and make their bows.",,
musafer ,kwo, (kwo) passenger,пассажир,
musafer-avion ,, passenger aircraft,,
musbi ,komo," (komo) it must be (expresses a higher degree of certainty than ""shayad"")","должно быть, скорее всего",
Ta musbi go-te a dom. ,, He must have gone home.,,
musey ,kwo, (kwo) museum,музей,
mushkile ,kwel, (kwel) difficult,"трудный; затруднительный; mushkilem с трудом; mushkila трудность, затруднение, проблема; sin mushkila без труда, запросто",
sta gro-mushkile ,, feel miserable / wretched / unhappy,,
mushkilem ,komo, (komo) with difficulty,,
mushkilitaa ,kwo, (kwo) difficulty (the state of being difficult),,
mushkila ,kwo, (kwo) difficulty (obstacle),,
sin mushkila ,," without difficulty, easily, with no trouble",,
mah-mushkile ,zwo, (zwo) make difficult,,Hindi
musika ,kwo, (kwo) music,"музыка; fai musika, musiki играть музыку, музицировать; musiker музыкант; musikale музыкальный; musikatul музыкальный инструмент; vos-musika вокальная музыка, tul-musika инструментальная музыка",
vos-musika ,, vocal music,,
tul-musika ,, instrumental music,,
"musiki, fai musika ",, play/make music,,
musikale ,kwel, (kwel) musical,,
musiker ,kwo, (kwo) musician,,
musikatul ,kwo, (kwo) musical instrument,,
muskula ,kwo, (kwo) muscle,"мускул, мышца; mah-laxe muskula расслабить мышцы; tensi muskula напрячь мышцы; muskulatot мускулатура; muskulaful мускулистый",
mah-laxe muskula ,, relax muscles,,
tensi muskula ,, strain muscles,,
muskulatot ,kwo, (kwo) muscular system,,
muskulaful ,kwel," (kwel) brawny, muscular",,
musla ,kwo," (kwo) muzzle, snout","морда, рыло; рожа, харя; musladan намордник",
musladan ,kwo, (kwo) muzzle (device used to prevent animal from biting or eating),,
muslina ,kwo, (kwo) muslin,муслин,
musta ,kwo," (kwo) pattern (that from which a copy is made), specimen, sample",образец; образчик,German
mustash ,kwo, (kwo) moustache; whisker (animal’s),усы,
mute ,kwel," (kwel) dumb, mute",немой,
mutili ,zwo," (zwo) maim, mutilate, cripple","калечить, увечить; mutila увечье; mutilawan калека",
mutila ,kwo," (kwo) mutilation, deformity",,
mutilawan ,kwo, (kwo) cripple,,
mutu ,komo," (komo) one another, each other",друг друга: nu lubi mutu мы любим друг друга; a mutu друг другу; mutu-samaja взаимопонимание,
nu lubi mutu ,, we love each other,,
a mutu ,, to each other (syao) mutual,,
mutu-samaja ,, mutual understanding,,
mutuale ,kwel," (kwel) mutual, reciprocal","взаимный, обоюдный; mutuale luba взаимная любовь",
muvi ,zwo, (zwo) move,"двигать(ся); muva движение; ход (в игре); (перен.) поступок, шаг; sinmuva-ney неподвижный, недвижный",
muva ,kwo," (kwo) move, motion, movement",,
sinmuva-ney ,, motionless,,
muy ,, (modus-komo) very,очень; muy hao очень хорошо,
muy jamile ,, very beautiful,,
muy kway ,, very quickly,,
myao ,zwo," (zwo) mew, meow, miaow",мяукать,
myati ,zwo," (zwo) crumple, crush, rumple","мять; теребить, комкать, приминать; myati-ney fruta мятые фрукты",Russian
myen ,kwo, (kwo) mien,"мина, выражение лица; внешний вид, манера, облик ",Chinese
na ,, (gramatika) (optionally marks an end of a semantic group) See also: ti,"Опциональный маркер конца смысловой группы. Oli gwerjen kel akompani-te shefa na he tabahi. - Все воины, сопровождавшие вождя, погибли. См.также ti",
nabla ,kwo," (kwo) navel, umbilicus",пуп,
