UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
justim,"équitablement, avec justice adv.",,,,,
justivokad,justification,,,,,
justivokim,"pour se justifier, comme justification adv.",,,,,
justivoko,justifier (en paroles),,,,,
justìz,justice (équité),justice,justicia (derecho),Justiz,правосудие,"giustizia, giudizio"
justizad,justification,justification,,,,
justìzi,judiciaire,,,,,
justizli,justifiable,,,,,
justizo,justifier,justify (to),,,,
justizor,justicier,,,,,
jut,joint (tech.),,,,,
jutad,jonction,"joining, junction",junción,Zusammenfügung,"соединение, присоединение",congiunzione
juto,"joindre, rejoindre (rencontrer)","join, put together",juntar,zusammenfügen,"соединять, присоединять",congiungere
"Juv, Juva","juif, -ve (N)",,,,,
Juvad,la communauté juive,,,,,
juvel pl. juvle,"bijou, joyau",,,,,
Juvi,"juif, -ve (adj.)",Jewish,,,,
Juvid,judéité,,,,,
juvisma,judaïsme,,,,,
juvlad,"bijouterie (activ.), joaillerie, les bijoux",,,,,
juvli,"de bijou, de joyau adj.",,,,,
juvlor,bijoutier,jeweller,joyero,Juwelier,ювелир,gioielliere
juvloria,bijouterie,jewelry shop,joyería,Juweliergeschäft,ювелирный магазин,gioielleria
ka,"que (interrogatif, exclamatif), quel ?",,,,,
ka dal ?,A quelle distance ?,,,,,
ka longim ?,combien de temps ?,How long ?,,,,
ka molvos ?,combien de fois?,How often ?,,,,
kab,"placard, armoire (gen.)",cupboard,armario,Schrank (m),шкаф,armadio
kabàl,caballe (intrigue),,,,,
kabala,caballe (tradition hébraïque),,,,,
kabalìst,caballiste,,,,,
kabalisti,caballistique,,,,,
kabalo,caballer,,,,,
kabalor,caballeur,,,,,
kabaret,cabaret,cabaret,cabaret,Kabarett,кабаре,cabaret
kabel pl. kable,cable,,,,,
kabestàn,cabestan,,,,,
kabin,cabine,cabin,cabina,Kabine,"кабина, каюта",cabina
kabinet,cabinet,cabinet,,,,
kablad,câblage,,,,,
kabli,"de câble (adj.), relatif au câble",,,,,
kabligràm,cablogramme,,,,,
kablitrèn,funiculaire,,,,,
kablivag,téléphérique (cabine),,,,,
kablivaj,téléphérique,,,,,
kabriolet,cabriolet,,,,,
kac,merde,,,,,
kacalòr,cachalot,,,,,
kaci,"de merde, merdeux, merdique",,,,,
kaco,déféquer,,,,,
kacù,cachou,,,,,
kad,bouc (animal),goat (billy-),,,,
kada,chèvre,goat,cabra,Ziege (f),коза,capra
"kadaster, pl. kadastre",cadastre,,,,,
kadastri,cadastral,,,,,
kadèl,chaudière (chauffage),boiler,caldera,Kessel (Heiz-),"котёл, бойлер","caldaia, bollitore"
kadelad,chaudronnerie,,,,,
kadelia,chaufferie,,,,,
kadelit,chaudron,,,,,
kadelor,chaudronnier,,,,,
kadet,cadet (militaire),,,,,
kadi,caprin (adj.),,,,,
kadian,caprin N,,,,,
kadibarb,bouc (barbe),,,,,
kadibarbit,barbichette,,,,,
kadifol,chèvrefeuille,,,,,
Kadikorn,Capricorne,,,,,
kadisprìt,cabriole,,,,,
kadisprito,faire des cabrioles,,,,,
"kadit, -a","chevreau, chevrette",,,,,
kador,cadre (personne),,,,,
kaf,sabot (animal),hoof,,,,
kafa,café (boisson),coffee,café,Kaffee (m),кофе,caffè
kafar,caféier,,,,,
kafèl,cafetière,coffee-pot,cafetera,kaffeekanne,кофейник,caffettiera
kafèrn,fer à cheval,horseshoe,,,,
kaferno,ferrer (cheval),,,,,
kafernor,maréchal ferrant,,,,,
kafia,café (lieu),café,café (cafetería),Café,кафе,caffè (2)
kafior,cafetier,,,,,
kafu,"à café, de café (adj.)",,,,,
kafu servìz,service à café,,,,,
kaj,quai (port),"wharf, quay",muelle,Kai,"пристань, причал","banchina, molo"
kaka,caca,,,,,
kakàw,cacao,cocoa,cacao,Kakao,какао,cacao
kakawar,cacaotier,,,,,
kaki,kaki (couleur),khaki,,,,
kakidrèv,kaki (arbre),,,,,
kakifrùt,kaki (fruit),,,,,
kal,talon (partie du corps et de chaussure),heel,"talón, tacón","Ferse, Absatz","каблук, пятка","calcagno, tacco"
kalb,charbon,coal,carbòn,Kohle (F),уголь,carbone
kalbi,"de charbon, charbonnier (adj.)",,,,,
kalbiminia,charbonnage (mine),,,,,
kalbindustrij,charbonnage (industrie),,,,,
kalbòn,carbone,,,,,
kalboni,carbonique,,,,,
kalbor,charbonnier (N),,,,,
kalendar,calendrier,calendar,calendario,Kalender,календарь,calendario
"kaliber, pl. kalibre",calibre,,,,,
kalifizad,qualification,qualification,,,,
kalifizen,qualifié,qualified,calificado,qualifiziert,квалифицированный,qualificato
kalifizi,qualificatif,,,,,
kalifizo,qualifier,,,,,
kalitad,qualité,quality,cualidad,Qualität,качество,qualità
kalitadi,qualitatif,,,,,
kalìz,calice,,,,,
kalk,chaux,lime,cal,Kalk,известь,calce
kalkifurn,four à chaux,,,,,
kalm,calme (N),,,,,
kalmi,calme (adj.),calm,"tranquilo, calmoso","ruhig, still","спокойный, тихий",calmo
kalmim,calmement,,,,,
kalmivo,se calmer,,,,,
kalmo,calmer,,,,,
kaloric,calorique,,,,,
kalorij,calorie,,,,,
kals,bas (vêtement),stocking,media (vest.),Strumpf,чулок,calza
kalsipànt,collants,tights,leotardo,Strumpfhose,колготки,calzamaglia
kalsòn,caleçon,,,,,
kalvi,chauve,bald,calvo,kahl,"лысый, плешивый",calvo
kalvid,calvitie,baldness,,,,
kam,"pierre, calcul (médic.)",stone,piedra,Stein,камень,pietra
kamar,chambre,bedroom,habitación,Schlafzimmer (n),"комната, спальня",camera(da letto)
kamarora,femme de chambre,chambermaid,camarera,Zimmermädchen,горничная,cameriera
kamb,"combat, bataille",fight,"combate, pelea, lucha",Kampf,"бой, борьба, сражение","combattimento, lotta"
kambavièl,chasseur (avion),,,,,
kambi,"de combat, de ba-taille (adj.)",,,,,
kambic,"combatif, batailleur",,,,,
kambigrup,groupe de combat,,,,,
kambo,"se battre, combattre",fight (to),"batirse, combatir",kämpfen,"бороться, сражаться","battersi, combattere"
kambor,combattant,fighter,combatiente,Kämpfer,"боец, борец, вояка",combattente
"kamèl, kamela","chameau, -elle",,,,,
kamelia,camélia,,,,,
kamelor,chamelier,,,,,
kamera,caméra,camera (cinema),cámara (cine),Camera,"камера, кинокамера",cinepresa
kameràd,camarade,comrade,"compañero, camarada","Kamerad, Genosse",товарищ,"compagno, camerata"
kameradad,camaraderie,,,,,
kameror,caméraman,,,,,
kamfar,camphre,,,,,
kami,"de, en pierre (adj.)",stone-,,,,
kamicizèl,burin,,,,,
kamìl,camomille,,,,,
kamin,cheminée (foyer),fireplace,chimenea,Kamin (m),камин,camino
kaminel,"cheminée (toit, usine, bateau)",,,,,
kamit,caillou,"stone, pebble","guijarro, china",Kiesel,"камешек, камушек","sasso, ciottolo"
kamizo,pétrifier,,,,,
kamòl? (pl.) kamole ?,combien (de) ?,,,,,
kamolad,quantité,quantity,cantidad,Quantität,количество,quantità
kamoladi,quantitatif,,,,,
kamolizli,quantifiable,,,,,
kamolizo,quantifier,,,,,
kamp,camp,camp,campamento,Lager (m),"лагерь, стан","campo, accampamento"
kampad,camping (activité),camping,camping,"Camping, Zelten",кемпинг,campeggio
kampàn,"campagne (militaire, publicitaire, électorale)",campaign,,,,
kampanor,celui qui fait campagne,,,,,
kampi,de camp (adj.),,,,,
kampia,camping (lieu),camping-site,camping (sitio),Campingplatz,кемпинг (место),campeggio (luogo)
kampibùs,camping-car,"camper, motorhome",,,,
kampifoj,feu de camp,,,,,
kampilèd,lit de camp,campbed,,,,
kampiòn,champion,champion,,,,
kampionad,championnat,championship,,,,
kampo,camper,camp (to),acampar,"zelten, campieren","ходить в походы,",campeggiare
"kampor, -a","campeur, -euse",camper,,,,
kan,robinet,tap,"grifo, canilla",Hahn (Wasser-),кран,"rubinetto, cannella"
kan ?,quand (interrogatif),when ?,cuando ?,Wann ?,когда ?,quando ?
Kanada,Canada,Canada,,,,
"Kanadan, -a","Canadien, -ne",,,,,
kanàl,"canal, chaîne (TV)","canal, channel",canal,"Kanal, Fernsehsender","канал, телеканал",canale
kanalizo,canaliser,,,,,
kanap,chanvre,,,,,
kanarit,canari,,,,,
kanàv,caniveau,,,,,
kandidàt,candidat,candidate,,,,
kandidatad,candidature,candidacy,,,,
kanèl,canelle,,,,,
kangùr,kangourou,kangaroo,,,,
"kanker, pl. kankre",cancer,,,,,
kankri,cancéreux,,,,,
kankrigeni,cancérigène,,,,,
kankrilogìst,cancérologue,,,,,
kanòn,canon,cannon,,,,
kanoni,de canon (adj.),,,,,
kanoni bul,boulet de canon,,,,,
kanoni pov,poudre à canon,,,,,
kanòt,canot,"dinghy, canoe",,,,
"kanselor, -a","chancelier, -ère",,,,,
kanseloria,chancellerie,,,,,
kant,coin,corner,"esquina, rincòn",Ecke (f),"угол, уголок","canto, angolo"
kantin,"cantine, réfectoire",canteen,cantina,Kantine,"столовая, буфет","mensa, refettorio"
"kantinor, -a","cantinier, -ière",,,,,
kanvàs,canevas,,,,,
kaòs,chaos,chaos,,,,
kaòsi,chaotique,chaotic,,,,
kap,chapeau,hat,sombrero,Hut (m),шляпа,cappello
kapa,cape,,,,,
kapèl,chapelle,chapel,capilla,Kapelle,"часовня, капелла",cappella
kapitàl,capital (N. financier),capital (fin.),,,,
kapitalisma,capitalisme,,,,,
kapitalìst,capitaliste (N),,,,,
kapitalisti,capitaliste (adj.),,,,,
kapitan,capitaine,captain,capitán,"Kapitän, Hauptmann",капитан,capitano
kapitar,chapiteau (colonne),,,,,
"kapitel, pl. kapitle",chapitre,,,,,
kaprìz,caprice,,,,,
kaprizi,capricieux,capricious,,,,
kapsèl,capsule,,,,,
kaptad,capture,capture,,,,
kapto,capturer,capture (to),capturar,"festnehmen, verhaften","захватывать, схватить",caraffa
kapùc,"capuche, capuchon",,,,,
kar,char,chariot (antiq),,,,
karabinor,carabinier (Italie),,,,,
karad,acheminement (marchandises),,,,,
karàf,carafe,carafe,garrafa,Wasserflasche (f),графин,caraffa
karak,cafard (insecte),cockroach,cucaracha,"Schabe, Kakerlak",таракан,scarafaggio
karakteristik,"caractéristique (une -, N)",characteristic,característica,Charakteristik,характеристика,caratteristica
karakteristiki,caractéristique (adj.),,,,,
karakterizo,caractériser,characterize (to),caracterizar,charakterisieren,характеризовать,caratterizzare
karaktir,caractère (gen. & d'une personne),character,carácter,Charakter,характер,carattere
karamèl,caramel,,,,,
karantin,quarantaine (médic.),quarantine,,,,
karavan,caravane (convoi),,,,,
karbàt,cargo,,,,,
kardamòn,cardamome,,,,,
kardinàl,cardinal (ecclésiastique),,,,,
kardinalad,cardinalat,,,,,
karèl,"charrette, chariot",cart,carreta,"Karren, Wagen (Bauern-)","телега, тележка",carretta
"Karel, gen. Karli",Charles,,,,,
karelor,charretier,carter,,,,
karg,"charge, chargement",load,"carga, cargamento","Ladung, Fracht","груз, нагрузка",carico
kargad,chargement (action),loading,,,,
kargen,"cargaison, chargement",,,,,
kargo,"charger (camion, etc…)",load (to),cargar,laden,"грузить, нагружать",caricare
karia,cale (bateau),hold (boat),bodega (barco),Laderaum,трюм,cala
karièr,carrière (profession),career,carrera,"Laufbahn, Karriere",карьера,carriera
karikatùr,caricature,,,,,
karikaturo,caricaturer,,,,,
karikaturor,caricaturiste,,,,,
kariròl,brouette,wheelbarrow,carretilla,Schubkarren (m),тачка,carriola
karit,"petit chariot, caddie",trolley,,,,
karitad,charité,,,,,
karitan,charitable,,,,,
karìz,carie (dentaire),,,,,
karn,chair,flesh,,,,
karnavàl,carnaval,,,,,
karni,charnel,carnal,,,,
karnijedi,carnassier adj.,,,,,
karnijedor,carnassier N,,,,,
karnuj,charogne,,,,,
karo,"charrier, transporter",carry (to),acarrear,"karren, etw. mit Karren fahren",возитьь перевозить,carreggiare
Karolingan,Carolingien,,,,,
karoserij,carrosserie,,,,,
karoserijo,carrosser,,,,,
karoserior,carrossier,,,,,
karòt,carotte,carrot,zanahoria,"Mohrrübe(f), Karotte",морковь,carota
karòz,carrosse,,,,,
karp,carpe,carp,,,,
kars,cachot,,,,,
karsen,prisonnier,prisoner,"preso, encarcelado",Gefangene (m),"заключенный, узник","prigioniero, carcerato"
karsia,prison,"prison, jail",cárcel,"Gefängnis (n), Kerker",тюрьма,"prigione, carcere"
kart,carte (gen.),card,"carta (naipe, …)",Karte (f),"карта, карточка","carta, tessera"
kartèl,portefeuille,wallet,,,,
kartijeg,jeu de cartes,,,,,
kartòn,carton,cardboard,cartón,"Pappe, Karton",картон,cartone
kartoni,encarton (adj.),,,,,
kartùc,cartouche,,,,,
karusèl,"chevaux de bois, manège",merry-go-round,,,,
karvàg,camion,lorry,camiòn,Lastwagen (m),грузовик,autocarro
karvagor,"camionneur, routier",lorry/ truck driver,,,,
karʒ,coeur,heart,corazon,Herz (n),сердце,cuore
karʒad,courage,courage,"valor, coraje",Mut (f),"храбрость, мужество",coraggio
karʒam,courageusement,courageously,,,,
karʒan,courageux,courageous,valiente,mütig,"храбрый, смелый",coraggioso
karʒi,"cardiaque (adj., gen.)",heart-,cardiaco,Herz- …,"сердечный, кардиальный","cordiale, di cuore"
karʒipati,cardiaque (adj. malade du cœur),,,,,
karʒipatien,cardiaque (N. malade du cœur),,,,,
karʒirisan,déchirant,,,,,
karʒirisan,poignant,,,,,
kas,"caisse (magasin, etc…)",cash(desk),caja,Kasse (f),касса,cassa
"kasel, pl. kasle",casier (rangement),,,,,
kasibìb,livre de caisse,,,,,
"kasor, -a","caissier, -ière",,,,,
kasta,kasta,,,,,
kastad,"punition, châtiment, peine",punishment,"castigo, pena",Strafe,наказание,"punizione, castigo"
kastàn,"châtaigne, marron",chestnut,castaña,Kastanie (f),каштан,castagna
kastanar,châtaignier,chesnut tree,castañar,Kastanienbaum,каштан (дерево),castagno
kastanaria,châtaigneraie,,,,,
kastèl,château,castle,castillo,Schloß (m),замок,castello
"kastelan, -a","châtelain, -aine",,,,,
kasti,punitif,punitive,,,,
kastihàs,maison de correction,,,,,
kastili,punissable,,,,,
kasto,"punir, sévir",punish (to),castigar,"strafen, bestrafen","наказать, наказывать","punire, castigare"
kastròl,casserole,saucepan,cacerola,"Tiegel, Kasserolle",кастрюля,casseruola
"kat, kata","chat, -te",,,,,
"Katalàn, -a","Catalan, -e (N)",,,,,
Katalani,"Catalan, -e (adj. & lang)",,,,,
Katalania,Catalogne,,,,,
katalizèl,catalysateur,,,,,
katalòg,catalogue,catalogue,catálogo,Katalog (m),каталог,catalogo
katastròf,catastrophe,catastrophe,,,,
katastrofi,catastrophique,,,,,
katedràl,cathédrale,cathedral,catedral,"Dom, Kathedrale",собор,duomo
kategoric,catégorique,,,,,
kategorij,catégorie,category,categoría,Kategorie,категория,categoria
katen,"chaîne (métal, etc…)",chain,cadena,Kette (f),цепь,catena
katenisèg,tronçonneuse,,,,,
katenislòk,cadenas,padlock,candado,Vorhängeschloß,висячий замок,lucchetto
katèr,chaire,,,,,
kati,félin adj (de chat),,,,,
katic,félin adj (pareil à un chat),,,,,
katidòr,chattière,,,,,
katin,chaton (arbre),,,,,
katiòn,cation,,,,,
katit,chaton (petit chat),,,,,
"katolik, -a",catholique (N),,,,,
katoliki,catholique (adj),,,,,
katolikisma,catholicisme,,,,,
kaul,chou,cabbage,col,Kohl (m),капуста,cavolo
kaulifol,feuille de chou,,,,,
kav,caverne,cave,,,,
kavia,cavité (espace vide),,,,,
kaviàr,caviar,,,,,
kaz,cas,case,caso,Fall (m),случай,caso
kaz (in da - ),"alors, dans ce cas",,,,,
kazàrm,caserne,barrack,,,,
kaʒ,cage,cage,,,,
ke ?,qui ? (interrogatif sujet),who ?,quién ?,wer ?,кто ?,Chi ?
keb,"tête, cap (de pied en cap)",head,cabeza,Kopf (m),голова,"testa, capo"
Kebèk,Québec,,,,,
Kebekan,"Québécois, -e (N)",,,,,
Kebeki,"Québécois, -e (adj.)",,,,,
kebiband,bandeau (tête),,,,,
kebibrek,casse-tête (problème),,,,,
kebibrekèl,casse-tête (arme),,,,,
kebicèl,cagoule,,,,,
kebikoj,têtard,,,,,
kebikuc,oreiller,pillow,almohada,Kopfkissen (n),подушка,guanciale
kebipol,capitale,capital (city),capital (la),Hauptstadt,столица,capitale
kebirol,"culbute, roulade",,,,,
kebirolo,"faire une roulade, la culbute",,,,,
kebisèd,siège social,,,,,
kebispìng,punaise (clou),,,,,
kebitèc,"foulard (qu'on met sur la tête), fichu",,,,,
kebitòr,donjon,,,,,
kej ?,à qui ? (possession),whose ?,de quién ?,wessen ?,чей ? чья ? чьё ? чьи ?,di chi ?
kel,cellule (gen.),cell (gen.),,,,
kel ? pl. kele ?,"quel ? lequel, laquelle ?, pl. lesquel(le)s ? (choix)",,,,,
kelar,cave,cellar,bodega,Keller (m),погреб,cantina
kelia,cellule (prison),cell (prison),,,,
"kelior, karsor",geôlier,,,,,
kemìz,chemise,shirt,camisa,Hemd (n),рубашка,camicia
ken,genou,knee,rodilla,Knie,колено,ginocchio
ken ?,qui ? (interrogatif compl. objet),Who ? (compl),Quién? (compl),Wen ?,кого ?,Chi? (compl)
ken ? (a - ),à qui ? (attribution),,,,,
Kenia,Kenya,Kenya,,,,
"Kenian, -a",Kenyan,,,,,
kenikàp,rotule,knee-cap,,,,
kenivad,génuflexion,,,,,
kenivan,agenouillé,,,,,
kenivo,agenouiller (s' - ),kneel (to),,,,
kenizo,mettre à genoux,,,,,
kep,cap (mar.),cape,,,,
ker,,,,,,
keramik,poterie (objets),"pottery, ceramics","cerámica, vasija","Töpferware, Keramik",керамика,"terraglia, ceramica"
keramik,céramique,"pottery, ceramics","cerámica, vasija","Töpferware, Keramik",керамика,"terraglia, ceramica"
keramiki,"de, en céramique (adj.)",,,,,
keramikor,céramiste,,,,,
keri,"cher (aimé), chéri (ad.;)",dear,querido,lieb,"дорогой, милый, любимый",caro (2)
kerìc,caresse,caress,,,,
kerìco,caresser,"stroke, caress (to)",acariciar,streicheln,ласкать,accarezzare
kerim,chèrement (affectif),,,,,
"kerin, kerina","chéri, -e (N)",,,,,
kerk,église,church,iglesia,Kirche (f),церковь,chiesa
kerki,écclésiastique (adj.),church-,eclesiástico (adj.),"kirchlich, Kirchen-",церковный,ecclesiastico
kerkihàl,salle paroissiale,,,,,
kerkimàn,écclésiastique (N),clergyman,,,,
kerkitòr,clocher (d'église),,,,,
kero,chérir,,,,,
kest,question,question,"pregunta, cuestión",Frage (2),вопрос,"domanda, questione"
kestad,interrogatoire,questioning,interrogatorio,Verhör,допрос,interrogatorio
kestar,questionnaire,,,,,
kestifol,questionnaire,,,,,
kesto,"interroger, questionner",question (to),interrogar,befragen,"допрашивать, вопрошать",interrogare
kevìl,cheveu,,,,,
kevilen,chevelu,"long-haired, hairy",,,,
kevili,capillaire,"hair-, capillary",,,,
kevilibròs,brosse à cheveux,,,,,
keviliklèm,barrette (pour les cheveux),,,,,
kevililak,laque pour les cheveux,,,,,
kevilinèt,résille,,,,,
kevilisorèl,sèche-cheveux,hair-dryer,secador de cabellos,Haartrockner,фен,asciugacapelli
kevilisprìj,,,,,,
ki,"avec, de (accompagnement, association, moyen, contenu, qui a, etc…)",with,con,mit,"с, со",con
kib,"le haut, le dessus, le sommet",top,,,,
"kibel, pl. -ble",sommet (montagne),,,,,
kibikord,hauban,,,,,
kid,enfant,"child, kid",,,,
kidad,enfance,childhood,infancia,Kindheit,детство,infanzia
kidi,"enfantin, d'enfant",,,,,
kidibìb,livre d'enfant,,,,,
kidic,"infantile, puéril",,,,,
kidicera,puéricultrice,,,,,
kidicerad,puériculture,,,,,
kidicerìst,pédiatre,,,,,
kidicim,puérilement,,,,,
kidij,enfantillage,,,,,
kidikeg,jeu d'enfant,,,,,
kidilogìst,pédiatre,,,,,
kidimurd,infanticide,,,,,
kigel pl. -gle,quille (jeu),,,,,
kik,poussin,,,,,
kil,quille (bateau),keel,,,,
"kilò, kilogràm",kilo (gramme),,,,,
"kilometer, pl. -tre",kilomètre,,,,,
kim ?,"comment ?, comme ! (exclamatif)",how ?,còmo ?,wie ?,как ?,come ?
kimik,chimie,chemistry,química,Chemie,химия,chimica
kimiki,chimique,chemical,químico,chemisch,химический,chimico
kimìst,chimiste,chemist (researcher),,,,
Kimra,Pays de Galles,,,,,
"Kimran, -a","Gallois, -e (N)",,,,,
Kimri,gallois (adj. & lang.),,,,,
kin,menton,chin,barbilla,Kinn,подбородок,mento
kina,cinéma,cinema,cinema,Kino (n),кино,cinema
kinin,quinine,quinine,,,,
kinugusor,cinéphile,,,,,
kiosk,kiosque,"kiosk, pavilion",quiosco,"Kiosk, Pavillon",киоск,"chiosco, edicola"
kip,"bout, pointe, extrémité",tip,,,,
Kipra,Chypre,,,,,
"Kipran, -a",Chypriote,,,,,
kiprìz,cyprès,,,,,
kir,cire,wax,,,,
kirèl,chandelle,candle,"vela, cirio",Kerze (f),okolo,"candela, cero"
kirèl,"bougie, chandelle",candle,"vela, cirio",Kerze (f),okolo,"candela, cero"
kirelar,candélabre,,,,,
kirelar,chandelier,,,,,
kirilic,cyrillique,,,,,
kirk,cercle,circle,círculo,Kreis (m),круг,"cerchio, circolo"
kirki,circulaire,circular,,,,
kirkifaro,Tr. contourner (en véhicule) Intr. circuler,,,,,
kirkiflùj,"circulation (sang, liquide)",circulation (liquid),,,,
kirkiflujo,circuler (liquide),circulate (to) (liquid),,,,
kirkilìn,circonférence,,,,,
kirkim,"environ, tout autour","about, around",cerca de (aproxim.),"ungefähr, zirka","около, приблизительно","circa, verso"
kirkireno,circuler,circulate (to),,,,
kirkistàd,circonstance,circumstance,circunstancia,Umstand,обстоятельство,circostanza
kirkìt,circuit,circuit,,,,
kirkìto,contourner,bypass (to),,,,
kirkiviro,tourner en rond,,,,,
kirkivok,circonlocution,,,,,
kirkivoko,tourner autour du pot,,,,,
kis,baiser (un),kiss,beso,Kuss (m),поцелуй,bacio
kisit,"bisou, petit baiser",,,,,
kiso,embrasser (baiser),kiss (to),besar,küssen,"целовать, поцеловать",baciare
kist,"caisse, boîte (grande)","box, crate, case",,,,
"kitel, pl. kitle",chatouille,,,,,
kitlo,chatouiller,,,,,
kiz,fromage,cheese,queso,Käse (m),сыр,"formaggio, cacio"
klad,robe (vêtement de femme.),dress,vestido (de mujer),Kleid (n),платье,abito (donna)
klaj,cri (gen.),shout (a),,,,
klajic,criard,,,,,
klajo,crier (gen.),shout (to),"vocear, clamar","schreien, rufen",кричать,gridare
klam,plainte,complaint,queja,Klage,жалоба,"reclamo, lamentela"
klamic,plaintif,,,,,
klamo,plaindre (se - ),complain (to),quejarse,beklagen (sich),жаловаться,lamentarsi
klamor,plaignant,,,,,
kland,calomnie,slander,,,,
klando,calomnier,slander (to),,,,
klap,claquement,"slam, crack, flapping",,,,
klapèl,soupape,valve,,,,
klapen,volet,"shutter, flap","postigo, flap, alerón","Fensterladen, Klappe",ставень,"imposta, anta, aletta"
klapo,claquer (gen.),"clap, slam, crack (to)",,,,
klar,"clair, limpide",clear,claro,"klar, hell","ясный, светлый",chiaro
Klara,Claire,,,,,
klarad,clarté,"clearness, clarity",,,,
klaria,clairière,,,,,
klarin,clairon,,,,,
klarinet,clarinette,,,,,
klarivad,éclaircissement,,,,,
klarivo,s'éclaircir,,,,,
klarizad,clarification,,,,,
klarizo,clarifier,,,,,
klarvizad,"lucidité, divination",,,,,
klarvizan,"lucide, clairvoyant (adj.) voyant (N)",,,,,
klarvizi,divinatoire,,,,,
"klarvizor, -a","devin, devineresse",,,,,
klas,classe,class,clase,Klasse (f),класс,classe
klasar,classeur,,,,,
klasic,classique (habituel),,,,,
klasiki,"classique (art, etc…)",classical,clásico,klassisch,классический,classico
klasisàl,salle de classe,classroom,sala de clase,Klassenzimmer,классная комната,aula
klasizad,classification,,,,,
klasizo,classifier,,,,,
klaso,classer,,,,,
klaun,"clown, pitre",clown,,,,
klauz,"clause, proposition",,,,,
klav,"touche (piano, ordinateur, etc.)",,,,,
klavar,clavier,,,,,
klem,"pince (outil, crabe)","pliers, claw, pincer","pinza, tenazas","Klammer, Klemme",клещи,"pinza, molletta"
kleng,"maillon, chaînon",link (chain),,,,
klerk,greffier,clerk,,,,
klev,colle,glue,cola,"Leim (m), Klebstoff",клещи,colla
klevad plakatis,affichage,,,,,
klevi,"adhésif, qui colle, collant",sticky,pegajoso,klebrig,"клейкий, липкий","adesivo, aderente"
kleviband,ruban adhésif,adhesive tape,cinta adhesiva,Klebestreifen,"клейкая лента, скотч",nastro adesivo
klevibend,pansement adhésif,,,,,
klevic,"collant, gluant, poisseux",sticky,,,,
klevinplàst,sparadrap,sticking plaster,,,,
klevo,coller,stick (to),pegar,kleben,"клеить, приклеивать",incollare
klevo a,adhérer à (coller),,,,,
klic,interrupteur (électrique),switch,interruptor,Schalter (elekt-),"переключатель, коммутатор","interruttore, ruttore"
"klicè, pl. klicès",cliché,,,,,
klicèl,embrayage,clutch,embrague,Kupplung,сцепление,frizione
klico,"allumer (appareil, courant)",,,,,
klico ap,éteindre (lumière),switch off (to) (light),,,,
klient,client,"customer, client",cliente,Kunde (m),"клиент, заказчик",cliente
klientad,clientèle,"customers, clientèle",,,,
klif,"falaise, à-pic",cliff,acantilado,Klippe,"утёс, отвесная скала",scogliera
klig,articulation,joint,,,,
klij,"clé, clef",key,llave,Schlüssel (m),ключ,chiave
klijikòs,clavicule,,,,,
klijirìng,porte-clefs,,,,,
klijo,fermer à clé,lock (to),cerrar con llave,abschließen,"запирать, замыкать",chiudere a chiave
klik,clic,,,,,
klika,clique (pej.),,,,,
kliko,cliquer,,,,,
klimad,"escalade, ascension",climbing,ascensión,Aufstieg,"восхождение, влезание",scalata
klimàt,climat,climate,clima,Klima (n),"skat, sklonклимат",clima
klimati,climatique,climatic,,,,
klimatizad,climatisation,air conditioning,aire acondicionado,Klimaanlage,кондиционирования воздуха,aria condizionata
klimatizèl,climatiseur,,,,,
klimatizo,climatiser,,,,,
klimo (op),grimper (sur),,,,,
klimo ru niz,"redescendre (arbre, échelle, montagne)",,,,,
klimor,"grimpeur, alpiniste",,,,,
klin,"pente, côte",slope,"pendiente, declive",Abhang (m),"склон, наклон, скат","pendenza, china"
klinad,inclinaison (pente),"incline, gradient",,,,
klinan,incliné,"leaning, tilted, sloping",,,,
klingèl,"carillon (porte, horloge)",,,,,
klingo,sonner (cloche),ring (to),"sonar, tocar",klingen,"звонить, звенеть",sonare
klinik,clinique (N),clinic,,,,
kliniki,clinique (adj.),,,,,
klinikim,cliniquement,,,,,
klinikor,clinicien,,,,,
klinko vase,trinquer,,,,,
klino,"se pencher, être incliné","lean, slope (to)","inclinarse, estar en declive","lehnen, abschüssig sein","наклоняться, клониться","sporgersi,inclinato(essere)"
klino gon,s'appuyer (contre),,,,,
klipad,taille (plantes),,,,,
klipo,"tailler (plantes), couper (pointes des cheveux)","trim, clip, prune (to)",,,,
klis,verrou,bolt,cerrojo,Riegel,"засов, задвижка",chiavistello
kliso,verrouiller,bolt (to),cerrar con cerrojo,verriegeln,запирать на засов,chiudere c. catenaccio
klivèg,biseau,,,,,
klivegi,biseauté,,,,,
klivi,oblique,,,,,
klivim,obliquement,,,,,
klod,"clou, crampon (chaussure)",nail (tech.),clavo,Nagel (m),гвоздь,chiodo
"klodel, pl. -dle",oeillet,,,,,
klodigùm,pneu clouté,,,,,
klodij (anat.),cheville,,,,,
klodo,clouer,nail (to),,,,
klol,cloche,bell,campana,Glocke (f),колокол,campana
kloliflòr,campanule,,,,,
klolijèg,carillon (église),,,,,
klolit,clochette,,,,,
klolit,grelot,,,,,
klolitòr,clocher (avec cloches),church tower,campanario,Glockenturm,колокольня,campanile
klomad,boitement,,,,,
klomi,boiteux (adj.),,,,,
klomito,boitiller,,,,,
klomo,boiter,,,,,
klomor,boiteux (N.),,,,,
klon,clone,,,,,
